requirement_id,implementation_status,code_reference,test_reference,acceptance_evidence,notes,last_updated
CFG-017,IN_PROGRESS,"backend/app/application/long_candidate.py; backend/app/application/long_persistence.py; backend/app/application/master_config_commands.py; backend/app/application/configuration_workflow.py; backend/app/api/configuration.py; backend/app/domain/data_review.py; backend/app/application/data_review_workflow.py; backend/app/api/data_review.py; backend/app/infrastructure/data_review.py; frontend/src/MappingWorkspacePanel.tsx; frontend/src/ConfigurationWorkspacePanel.tsx",DQ-P1-LDB-003;DQ-P1-LDB-007;DQ-P1-AIMAP-009;DQ-P1-MASTER-002;DQ-P1-MASTER-006;DQ-P1-MASTER-010;DQ-P1-DSTAT-006;DQ-P1-DSTATUI-004;DQ-P1-CFGUI-003,reports/gates/PHASE_1_GATE_REPORT.md,"New items remain CANDIDATE until an explicit CAS-protected MANAGED/EXCLUDED decision; held items remain ineligible and no automatic VALID promotion exists.",2026-08-15
ING-023,IN_PROGRESS,"backend/app/domain/master_config.py; backend/app/application/configuration_workflow.py; backend/app/api/configuration.py; backend/app/infrastructure/master_config.py; frontend/src/ConfigurationWorkspacePanel.tsx",DQ-P1-MASTER-001;DQ-P1-MASTER-005;DQ-P1-MASTER-006;DQ-P1-CFGUI-007,reports/gates/PHASE_1_GATE_REPORT.md,"The Korean setup UI creates a provenance-bound first binding from one approved Mapping row to a canonical supplier/model-part/item hierarchy; a dedicated supplier part-name alias catalog remains incomplete.",2026-08-15
CFG-003,IN_PROGRESS,"backend/app/domain/master_config.py; backend/app/infrastructure/master_config.py",DQ-P1-MASTER-001,reports/gates/PHASE_1_GATE_REPORT.md,"Supplier is persisted as an independent project-scoped comparison axis and is not a Model-Part-Item parent; later comparison and evaluation behavior is not implemented.",2026-08-15
CFG-005,IN_PROGRESS,"backend/app/domain/master_config.py; backend/app/application/configuration_workflow.py; backend/app/api/configuration.py; backend/app/infrastructure/master_config.py; backend/app/domain/data_review.py; backend/app/infrastructure/data_review.py; frontend/src/ConfigurationWorkspacePanel.tsx; backend/migrations/versions/0005_persist_data_status_review.py",DQ-P1-MASTER-003;DQ-P1-MASTER-004;DQ-P1-MASTER-007;DQ-P1-DSTAT-001;DQ-P1-DSTAT-007;DQ-P1-CFGUI-004,reports/gates/PHASE_1_GATE_REPORT.md,"The setup UI preserves user-entered exact Decimal limits, unit, revision source, effectivity, and reason in a first immutable Draft; actual company values and qualitative rules are external.",2026-08-15
CFG-006,IN_PROGRESS,"backend/app/application/master_config_commands.py; backend/app/application/configuration_workflow.py; backend/app/api/configuration.py; backend/app/infrastructure/master_config.py; frontend/src/ConfigurationWorkspacePanel.tsx",DQ-P1-MASTER-003;DQ-P1-MASTER-004;DQ-P1-MASTER-010;DQ-P1-CFGUI-005,reports/gates/PHASE_1_GATE_REPORT.md,"The Korean setup UI keeps Master Draft review separate and rejects direct Draft approval; supplier evidence cannot change Master automatically.",2026-08-15
CFG-007,IN_PROGRESS,"backend/app/infrastructure/master_config.py; backend/app/infrastructure/data_review.py; backend/app/application/historical_comparison.py; frontend/src/HistoricalWorkspacePanel.tsx",DQ-P1-MASTER-004;DQ-P1-MASTER-007;DQ-P1-DSTAT-007;DQ-P2-HIST-003,reports/gates/PHASE_2_GATE_REPORT.md,"Historical comparison preserves the exact Master revision and period applied by the original decision; current-Master re-evaluation remains absent.",2026-08-16
CFG-009,IN_PROGRESS,"backend/app/infrastructure/master_config.py; backend/app/infrastructure/data_review.py; backend/app/application/historical_comparison.py",DQ-P1-MASTER-004;DQ-P1-MASTER-007;DQ-P1-DSTAT-007;DQ-P2-HIST-002;DQ-P2-HIST-003,reports/gates/PHASE_2_GATE_REPORT.md,"Predecessor and successor Mapping/Master periods and applied decision evidence remain distinguishable; revision-segmented statistics are not implemented.",2026-08-16
CFG-016,IN_PROGRESS,"backend/app/domain/master_config.py; backend/app/application/master_config_commands.py; backend/app/application/configuration_workflow.py; backend/app/api/configuration.py; backend/app/domain/data_review.py; backend/app/infrastructure/data_review.py; frontend/src/ConfigurationWorkspacePanel.tsx",DQ-P1-MASTER-002;DQ-P1-MASTER-006;DQ-P1-MASTER-010;DQ-P1-DSTAT-006;DQ-P1-CFGUI-002;DQ-P1-CFGUI-003,reports/gates/PHASE_1_GATE_REPORT.md,"The setup UI creates independent Supplier and Item identities and requires explicit disposition; CANDIDATE is ineligible, MANAGED can be evaluated, and EXCLUDED remains explicit.",2026-08-15
ING-041,IN_PROGRESS,"backend/app/domain/data_review.py; backend/app/application/data_review.py; backend/app/application/bulk_finalization.py; backend/app/api/bulk_finalization.py; backend/app/domain/result_replacement.py; backend/app/application/result_replacement.py; backend/app/api/result_replacement.py",DQ-P1-DSTAT-002;DQ-P1-DSTAT-003;DQ-P1-DSTAT-009;DQ-P2-BULKFINAL-002;DQ-P2-REPL-001;DQ-P2-REPL-003;DQ-P2-REPL-004;DQ-P2-REPL-006;DQ-P2-REPLUI-002,reports/gates/PHASE_2_GATE_REPORT.md,"Explicit batch confirmation still creates PENDING/HELD Long rows only; a separate confirmed ADMIN pair command may replace one eligible result with one reviewed PENDING successor, and no automatic VALID or REPLACED transition exists.",2026-08-16
ANA-011,IN_PROGRESS,"backend/app/infrastructure/data_review.py",DQ-P1-DSTAT-010,reports/gates/PHASE_1_GATE_REPORT.md,"The official selector requires both result and measurement to be VALID; Control Limit calculation and analytical segmentation remain Phase 4.",2026-08-15
ARC-022,IN_PROGRESS,"packaging/extension-manifest.json; packaging/Launch-MassProductionQualityValidation.ps1; scripts/release/package_tool.py; scripts/release/Install-Package.ps1",DQ-P1-WINPKG-001;DQ-P1-WINPKG-003;DQ-P1-WINPKG-006,reports/gates/PHASE_1_GATE_REPORT.md,"A current-user opt-in local extension package exists without registry, autostart, service, or Scheduler mutation; Scheduler discovery remains Phase 5.",2026-08-15
ARC-023,IN_PROGRESS,"packaging/extension-manifest.json; packaging/Launch-MassProductionQualityValidation.ps1; scripts/release/package_tool.py",DQ-P1-WINPKG-003;DQ-P1-WINPKG-004;DQ-P1-WINPKG-005,reports/gates/PHASE_1_GATE_REPORT.md,"Code and data roots are disjoint and atomic install/update/remove preserves user data; an embedded Python/offline wheelhouse is not included.",2026-08-15
ARC-028,IN_PROGRESS,"packaging/extension-manifest.json; scripts/release/package_tool.py; scripts/release/Build-Package.ps1; scripts/release/Install-Package.ps1",DQ-P1-WINPKG-002;DQ-P1-WINPKG-004;DQ-P1-WINPKG-005;DQ-P1-WINPKG-006,reports/gates/PHASE_1_GATE_REPORT.md,"Extension ID, DQ version, package contract major, per-file hashes, and rollback are enforced; Scheduler version and discovery compatibility remain UNVERIFIED and BLOCKED_BY_INPUT.",2026-08-15
ING-013,IN_PROGRESS,"backend/app/application/bulk_import.py; backend/app/infrastructure/bulk_import.py; backend/app/api/bulk.py; frontend/src/BulkWorkspacePanel.tsx; backend/migrations/versions/0006_persist_bulk_import.py",DQ-P2-BULK-001;DQ-P2-BULK-002;DQ-P2-BULK-010;DQ-P2-BULKUI-001;DQ-P2-BULKUI-003,reports/gates/PHASE_2_GATE_REPORT.md,"Selected historical workbooks can be durably staged, project-scoped after restart, and reuse one approved representative Mapping; actual company historical acceptance remains BLOCKED_BY_INPUT.",2026-08-15
ING-014,IN_PROGRESS,"backend/app/domain/bulk_import.py; backend/app/application/bulk_import.py; backend/app/application/bulk_finalization.py; frontend/src/HistoricalWorkspacePanel.tsx",DQ-P2-BULK-003;DQ-P2-BULK-005;DQ-P2-BULK-007;DQ-P2-BULKFINAL-003,reports/gates/PHASE_2_GATE_REPORT.md,"Candidate-ready files have no individual approval; typed exceptions are excluded with proof while eligible siblings continue in the batch-wide command.",2026-08-16
ING-016,IN_PROGRESS,"backend/app/domain/bulk_finalization.py; backend/app/application/bulk_finalization.py; backend/app/api/bulk_finalization.py; frontend/src/HistoricalWorkspacePanel.tsx; backend/migrations/versions/0007_persist_bulk_finalization.py",DQ-P2-BULK-001;DQ-P2-BULKFINAL-001;DQ-P2-BULKFINAL-002;DQ-P2-BULKFINALUI-001;DQ-P2-BULKFINALUI-002;DQ-P2-BULKFINALUI-003,reports/gates/PHASE_2_GATE_REPORT.md,"A user can explicitly confirm the immutable eligible set and materialize it PENDING/HELD; unresolved exceptions and missing Golden evidence keep the initial database Gate incomplete.",2026-08-16
ARC-021,IN_PROGRESS,"backend/app/application/historical_comparison.py; backend/app/api/historical_comparison.py",DQ-P2-HIST-004,reports/gates/PHASE_2_GATE_REPORT.md,"On-demand comparison returns bounded stored evidence and lightweight revision/count deltas without persisting duplicate statistics snapshots.",2026-08-16
UIX-028,IN_PROGRESS,"backend/app/application/historical_comparison.py; backend/app/api/historical_comparison.py; frontend/src/HistoricalWorkspacePanel.tsx",DQ-P2-HIST-001;DQ-P2-HIST-002;DQ-P2-HIST-003;DQ-P2-HIST-004;DQ-P2-HISTUI-001;DQ-P2-HISTUI-002,reports/gates/PHASE_2_GATE_REPORT.md,"Two explicit date windows are compared only on user request; this foundation shows raw provenance and structural deltas but performs no trend or statistical analysis.",2026-08-16
ING-017,IN_PROGRESS,"backend/app/application/bulk_import.py; backend/app/application/mapping_workspace.py",DQ-P2-BULK-002;DQ-P2-BULK-009,reports/gates/PHASE_2_GATE_REPORT.md,"Approved Mapping is reused across a selected durable local batch; Scheduler queue backlog application remains Phase 5.",2026-08-15
ING-039,IN_PROGRESS,"backend/app/application/bulk_import.py; backend/app/infrastructure/bulk_import.py; backend/app/domain/result_replacement.py; backend/app/application/result_replacement.py; frontend/src/BulkWorkspacePanel.tsx",DQ-P2-BULK-006;DQ-P2-BULK-007;DQ-P2-REPL-002;DQ-P2-REPL-003,reports/gates/PHASE_2_GATE_REPORT.md,"Same-LOT exact bytes, same-evidence retest containers, and changed-evidence revision candidates are separated; an exact same-identity correction can be proposed for explicit paired review but is never replaced automatically.",2026-08-16
ING-040,IN_PROGRESS,"backend/app/application/bulk_import.py; backend/app/infrastructure/bulk_import.py; backend/app/domain/result_replacement.py; backend/app/application/result_replacement.py",DQ-P2-BULK-007;DQ-P2-REPL-002,reports/gates/PHASE_2_GATE_REPORT.md,"Same supplier/model/part/LOT content changes are detected without relying on filename and preserve bounded exact field and full measurement-set digest evidence.",2026-08-16
ING-042,IN_PROGRESS,"backend/app/application/bulk_import.py; backend/app/api/bulk.py; backend/app/domain/result_replacement.py; backend/app/application/result_replacement.py; backend/app/infrastructure/result_replacement.py; backend/app/api/result_replacement.py; backend/app/application/historical_comparison.py; frontend/src/BulkWorkspacePanel.tsx; frontend/src/HistoricalWorkspacePanel.tsx; frontend/src/api/replacement.ts; backend/migrations/versions/0008_persist_result_replacement_chain.py",DQ-P2-BULK-007;DQ-P2-BULKUI-002;DQ-P2-REPL-003;DQ-P2-REPL-004;DQ-P2-REPL-005;DQ-P2-REPL-007;DQ-P2-REPL-009;DQ-P2-REPL-010;DQ-P2-REPLUI-001,reports/gates/PHASE_2_GATE_REPORT.md,"Bulk revision candidates remain review-only; a separate audited ADMIN pair command creates a bounded REPLACED -> VALID result chain with replay protection, while automatic selection and official statistics remain absent.",2026-08-16
ING-043,IN_PROGRESS,"backend/app/application/bulk_import.py; backend/app/domain/bulk_import.py; backend/app/domain/result_replacement.py; backend/app/application/result_replacement.py; frontend/src/BulkWorkspacePanel.tsx; frontend/src/HistoricalWorkspacePanel.tsx; frontend/src/api/replacement.ts",DQ-P2-BULK-007;DQ-P2-BULKUI-002;DQ-P2-REPL-002;DQ-P2-REPLUI-001;DQ-P2-REPLUI-002,reports/gates/PHASE_2_GATE_REPORT.md,"Exact NG/FAIL-to-PASS corrections are flagged as high risk; tolerance, sample, and source changes remain CHANGED and NOT_EVALUABLE, and no broader company risk policy is inferred.",2026-08-16
